text,score,label
Professor: And mad king Ludwig,0.9713581204414368,POSITIVE
"would invite guests into the castle linderhof,",0.9951773881912231,POSITIVE
where they would fall victim,0.9969033598899841,NEGATIVE
to any of his dozens of deadly traps.,0.976695716381073,NEGATIVE
Rude.,0.9997527003288269,NEGATIVE
"Huh. That's why his name was not ""lovable Ludwig""",0.9990611672401428,NEGATIVE
"or ""good neighbor king of Bavaria.""",0.9976913928985596,POSITIVE
Ohh! Stand back.,0.8611459732055664,NEGATIVE
"Ah, come on.",0.9753352999687195,POSITIVE
What are the odds that these traps still--,0.9935385584831238,NEGATIVE
yeeh.,0.858924925327301,NEGATIVE
Ludwig's lost treasure.,0.8192973732948303,POSITIVE
"I'm sure the Booty is booby-trapped, so don't--",0.9970096349716187,NEGATIVE
(rumbling),0.9946942925453186,NEGATIVE
Touch anything.,0.9922310709953308,POSITIVE
Go! Go! Go!,0.9992401599884033,POSITIVE
Ohh!,0.845105767250061,POSITIVE
Bad day.,0.9998149275779724,NEGATIVE
Ha! Bad day! Bad day!,0.999728262424469,NEGATIVE
Bad day! Bad day! Bad day!,0.9997559189796448,NEGATIVE
(Grunting),0.9929026961326599,NEGATIVE
(Screaming),0.9948963522911072,NEGATIVE
(Jackie screaming),0.9743340611457825,NEGATIVE
Snowboarding works much better with snow.,0.9350659847259521,NEGATIVE
Follow him.,0.9976400136947632,POSITIVE
Follow him.,0.9976400136947632,POSITIVE
(Bell rings),0.9969820380210876,POSITIVE
"What is it, uncle?",0.9942276477813721,NEGATIVE
"Come, give uncle a hug.",0.9996926784515381,POSITIVE
Ow!,0.9866064190864563,NEGATIVE
You did not make coffee this morning.,0.8382341265678406,NEGATIVE
Coffee is the only thing,0.9869194626808167,NEGATIVE
keeping uncle's ancient heart beating.,0.999158501625061,POSITIVE
You want dead uncle?,0.9963382482528687,NEGATIVE
No? Then you make coffee.,0.8776185512542725,POSITIVE
Ok.,0.9997780919075012,POSITIVE
One more thing.,0.9171428680419922,POSITIVE
You received phone call from the university.,0.9767930507659912,NEGATIVE
They want you to translate parchments.,0.9522935152053833,NEGATIVE
Ok.,0.9997780919075012,POSITIVE
One more thing.,0.9171428680419922,POSITIVE
I cannot read these inscriptions.,0.9856821894645691,NEGATIVE
Very old writing.,0.9994475245475769,NEGATIVE
"I must go in back, look at my journals.",0.9951247572898865,NEGATIVE
Ok.,0.9997780919075012,POSITIVE
One more thing.,0.9171428680419922,POSITIVE
"This is Jade, your niece.",0.9982940554618835,POSITIVE
She will live with you for a year. Ok?,0.9982693195343018,POSITIVE
Ok.,0.9997780919075012,POSITIVE
I have a niece?!,0.8539839386940002,POSITIVE
Your cousin shin's girl from Hong Kong.,0.9959765076637268,POSITIVE
Jade is not behaving well there--,0.9996340274810791,NEGATIVE
doing poorly in school.,0.9997499585151672,NEGATIVE
Your cousin thinks she will do better in America with you.,0.9932457804679871,NEGATIVE
"Uh, nobody asked me!",0.9977057576179504,NEGATIVE
Did not want to bother you.,0.9804863929748535,NEGATIVE
"Now, you both get acquainted while I go do work.",0.9997139573097229,POSITIVE
But I don't know anything about children.,0.9984843134880066,NEGATIVE
(Nervous laugh),0.99837327003479,POSITIVE
Hello.,0.9993738532066345,POSITIVE
I am Jackie.,0.9990009665489197,POSITIVE
Hmm. No English.,0.9996376037597656,NEGATIVE
<i>Ne ho ma?</i>,0.9886653423309326,NEGATIVE
(Bell rings),0.9969820380210876,POSITIVE
Welcome to uncle's rare finds.,0.9998430013656616,POSITIVE
How can I help you?,0.9855013489723206,NEGATIVE
"You're Jackie chan, the archeologist?",0.8798825144767761,POSITIVE
"Oh, I dabble in the study of past civilizations.",0.7536740899085999,POSITIVE
"Well, we are aware that you recently",0.9969213008880615,POSITIVE
dabbled a shield from a bavarian castle.,0.9600850939750671,NEGATIVE
Our extremely wealthy employer,0.9972103238105774,POSITIVE
is interested in purchasing that shield.,0.991854190826416,POSITIVE
I'm sorry.,0.9996709823608398,NEGATIVE
I already donated that piece to the university.,0.9427995681762695,POSITIVE
Really?,0.8895300030708313,NEGATIVE
Aah!,0.9799882173538208,POSITIVE
It would be in your family's best interests,0.9916762113571167,POSITIVE
"to undonate the shield, Mr. chan,",0.9411444664001465,NEGATIVE
by this time tomorrow.,0.9949683547019958,POSITIVE
Did they buy anything?,0.9985654950141907,NEGATIVE
No.,0.9972889423370361,NEGATIVE
You terrible salesman.,0.9990586638450623,NEGATIVE
Watch the girl and hide the shield.,0.6092495322227478,NEGATIVE
Where am I going to hide a big shield?,0.9990967512130737,NEGATIVE
Where did I put it?,0.998333752155304,NEGATIVE
Whoa!,0.9698188304901123,POSITIVE
Hey! - Aah!,0.9974499344825745,POSITIVE
Ow!,0.9866064190864563,NEGATIVE
Heh. That will buff right out.,0.9988716244697571,POSITIVE
Nya nya!,0.8909935355186462,POSITIVE
Electric swords?!,0.7014704346656799,POSITIVE
Aah! Aah! - Aah!,0.9431230425834656,NEGATIVE
Ow!,0.9866064190864563,NEGATIVE
No more playtime! Go! Go! Go!,0.5470342040061951,NEGATIVE
Kid: Let's get out of here!,0.9714536070823669,NEGATIVE
Aah!,0.9799882173538208,POSITIVE
Hey! What the--,0.9981024861335754,POSITIVE
wow.,0.9995881915092468,POSITIVE
Let's get out of here.,0.9923445582389832,NEGATIVE
Jade?,0.9851605892181396,NEGATIVE
Now he's coming to.,0.9974689483642578,POSITIVE
Aah!,0.9799882173538208,POSITIVE
Augustus black!,0.9814355969429016,POSITIVE
What are you doing here?,0.966467559337616,NEGATIVE
"Oh, what am I doing here?",0.9845330119132996,NEGATIVE
"I'm afraid it's official business, my friend.",0.9974020719528198,NEGATIVE
I didn't think these were your backup singers.,0.998250424861908,NEGATIVE
Where have you been? I don't hear from you for 6 years.,0.9812472462654114,NEGATIVE
Boom! You're in San Francisco saving my butt.,0.9992122650146484,POSITIVE
Whoa. Those thugs must have knocked me out.,0.9974750876426697,NEGATIVE
"Actually, I knocked you out.",0.9970114231109619,NEGATIVE
Why did you do that?,0.9982197880744934,NEGATIVE
Jackie.,0.9920995235443115,POSITIVE
I thought we were friends.,0.9986121654510498,POSITIVE
"We are, Jackie.",0.9996992349624634,POSITIVE
"I'm sorry, but this location must remain secret.",0.9970753192901611,NEGATIVE
"Oh, yes. I can see this is some very special garbage.",0.9974132180213928,NEGATIVE
Jackie--,0.9964194297790527,POSITIVE
maybe I'll see you in another 6 years.,0.9952988028526306,POSITIVE
Excuse me while I call a cab.,0.998129665851593,NEGATIVE
"Uh, Jackie--",0.8475037217140198,NEGATIVE
(dials phone),0.7653254866600037,NEGATIVE
(Screaming),0.9948963522911072,NEGATIVE
(Sighs),0.997162401676178,NEGATIVE
(Screaming),0.9948963522911072,NEGATIVE
(Elevator dings),0.9961744546890259,NEGATIVE
Unh.,0.9949461817741394,NEGATIVE
Tried to warn you.,0.9990127086639404,NEGATIVE
How did you get down here?,0.9975554943084717,NEGATIVE
The stairs.,0.9923829436302185,POSITIVE
Follow me.,0.9979549646377563,POSITIVE
"Black: Jackie, welcome to section 13.",0.9986573457717896,POSITIVE
I thought you were with interpol.,0.8865653872489929,NEGATIVE
"Even when you knew me then,",0.8262799382209778,NEGATIVE
I was shepherding this agency in secret.,0.9765008687973022,NEGATIVE
You're a spy?,0.8059961199760437,NEGATIVE
They're spies?,0.9906654357910156,NEGATIVE
"Law enforcement, Jackie...",0.9556242227554321,POSITIVE
Elite special forces.,0.9973948001861572,POSITIVE
So why give me the big tour?,0.6483162045478821,NEGATIVE
We are aware that you've recently acquired,0.9957964420318604,POSITIVE
an artifact in Bavaria.,0.9980887770652771,POSITIVE
Why does everyone know this?,0.9973472356796265,NEGATIVE
Jackie?,0.9719911217689514,NEGATIVE
You are the second one,0.9990525841712952,POSITIVE
to ask me about the shield today.,0.9270174503326416,POSITIVE
As I feared.,0.9333263039588928,NEGATIVE
Want to fill me in?,0.9937080144882202,POSITIVE
Black: Section 13 was founded,0.9827626943588257,NEGATIVE
to investigate large-scale international crimes--,0.9317787885665894,POSITIVE
crimes which it seems can often be traced,0.9260812401771545,NEGATIVE
to a syndicate called the dark hand.,0.9622548818588257,NEGATIVE
The dark hand has connections,0.9944724440574646,POSITIVE
to nearly every criminal activity in existence.,0.8438988924026489,POSITIVE
Their leader is this man--,0.9958688020706177,POSITIVE
valmont.,0.9884966611862183,POSITIVE
You are telling me one man stopped you?,0.9967181086540222,NEGATIVE
"Uh, yes, but--",0.884641170501709,NEGATIVE
3 of my enforcers,0.9845238327980042,POSITIVE
armed with high-tech weapons,0.9974761605262756,POSITIVE
were defeated by an archeologist?,0.9995085000991821,NEGATIVE
Did we mention he had windshield wipers?,0.9942209720611572,NEGATIVE
Tohru.,0.830801784992218,POSITIVE
Uh-oh. - Whoa!,0.9564481377601624,POSITIVE
Whoa.,0.7333229780197144,POSITIVE
"Tohru, can't breathe.",0.9869157075881958,NEGATIVE
Enough.,0.9377303123474121,POSITIVE
(Gasping),0.9779102206230164,NEGATIVE
"Tohru, bring me the shield.",0.9972851276397705,POSITIVE
"While your tohru impresses, valmont,",0.9994834661483765,POSITIVE
perhaps he should be aided by...,0.985600471496582,NEGATIVE
The shadowkahn.,0.8803447484970093,NEGATIVE
"As you wish, shendu.",0.9955398440361023,POSITIVE
Black: We recently learned that the dark hand,0.9818302989006042,NEGATIVE
has a sudden interest in collecting certain historical artifacts.,0.9995760321617126,POSITIVE
Why?,0.9967441558837891,NEGATIVE
"Unknown,",0.9985063672065735,NEGATIVE
"but with this new development,",0.9911226034164429,POSITIVE
section 13 could use an archeology expert such as yourself.,0.9713185429573059,NEGATIVE
"Oh, I'm really just an amateur.",0.9989846348762512,NEGATIVE
A wise and talented amateur,0.9997273087501526,POSITIVE
whom I know and trust.,0.9997790455818176,POSITIVE
But my university work--,0.8460843563079834,NEGATIVE
"it wouldn't be full-time, Jackie.",0.9969985485076904,NEGATIVE
"Research only, - to help us stay one step ahead of valmont.",0.9758272171020508,POSITIVE
I will consider it.,0.9992128610610962,POSITIVE
Whoa! - Watch it!,0.9988270401954651,POSITIVE
Jackie!,0.9993489384651184,POSITIVE
Who is that?!,0.9961891770362854,NEGATIVE
No relation.,0.9981948733329773,NEGATIVE
Whoa! - Whoa!,0.9647475481033325,POSITIVE
Stand back.,0.9797409772872925,POSITIVE
"Jade: Jackie, grab on!",0.9865561723709106,POSITIVE
I'm busting you outta here.,0.999319314956665,POSITIVE
You speak English?!,0.8285768628120422,POSITIVE
Jackie: Sorry!,0.9996100068092346,NEGATIVE
Jackie: Look out!,0.9994077682495117,POSITIVE
Sorry! Heads up!,0.9992262125015259,NEGATIVE
Jackie: Look out!,0.9994077682495117,POSITIVE
Jackie: Sorry!,0.9996100068092346,NEGATIVE
Aah!,0.9799882173538208,POSITIVE
"Jackie, how many fingers do you see?",0.5201948881149292,NEGATIVE
Look. Fishies.,0.9241200089454651,NEGATIVE
Let go of me!,0.9770143628120422,NEGATIVE
"Young lady, how did you get in here?",0.9926304817199707,NEGATIVE
The stairs.,0.9923829436302185,POSITIVE
Where did you get the bike?,0.995918333530426,NEGATIVE
You could have been hurt.,0.9881636500358582,NEGATIVE
I snuck it out of their garage.,0.9532226324081421,NEGATIVE
Knew we'd need it to blow this taco stand.,0.9981544613838196,NEGATIVE
"So, we outta here?",0.9950867295265198,NEGATIVE
"Jade, these people are my friends.",0.9996852874755859,POSITIVE
Your friends knocked you out,0.9968550205230713,NEGATIVE
and took you to a supersecret underground base?!,0.9574495553970337,NEGATIVE
"Uh, yes.",0.9874669909477234,POSITIVE
America is so cool!,0.9998658895492554,POSITIVE
Care to explain how our security was penetrated by a child?,0.9979567527770996,NEGATIVE
I'm not a child.,0.5350945591926575,NEGATIVE
I'm Jackie's niece.,0.9985949397087097,POSITIVE
"Didn't know - you had a niece, Jackie.",0.983085572719574,POSITIVE
Join the club.,0.9987884163856506,POSITIVE
"Jackie: Jade-- - come on,",0.9810823202133179,POSITIVE
"just admit, wasn't I brave?",0.9287775158882141,POSITIVE
"Yes, but you also need wisdom",0.9819896221160889,POSITIVE
