text,score,label
被疯王路德维希请进林德霍夫堡的宾客,0.9671346545219421,Negative
都会成为其中无数致命陷阱的牺牲品,0.8907449841499329,Negative
真讨厌,0.9991627931594849,Negative
所以才没人叫他可爱的路德维希,0.5303576588630676,Positive
或是邻国巴伐利亚的暖心王,0.6767356395721436,Positive
退后,0.978005588054657,Negative
别逗了 都这么久了这些陷阱怎么可能…,0.9985285997390747,Negative
失落的路德维希宝藏,0.8333320617675781,Negative
肯定有机关保护这些宝藏,0.9474185705184937,Positive
所以先别碰它们,0.989913821220398,Negative
跑快点,0.5668723583221436,Negative
真倒霉,0.9990352392196655,Negative
倒霉死了,0.9994611144065857,Negative
滑雪板就该在雪地上滑,0.8754794001579285,Negative
跟上他,0.7323090434074402,Positive
跟上他,0.7323090434074402,Positive
（老爹古董店）,0.8075940608978271,Positive
怎么了 老爹？,0.9825817346572876,Negative
快下来 抱抱老爹,0.991959273815155,Positive
你今天早上怎么没泡咖啡？,0.9306523203849792,Positive
你老爹就靠咖啡续命了,0.7200427651405334,Positive
你想我死吗？不想吧,0.976525604724884,Negative
那就去泡咖啡啊,0.943677544593811,Negative
-好的-还有一件事,0.9608500599861145,Positive
学校刚给你打电话了,0.6503881216049194,Positive
叫你翻译一些文献,0.6008793711662292,Negative
-行啊-还有一件事,0.8740898370742798,Positive
我看不懂这上面的铭文,0.9878258109092712,Negative
用的文字太古老了,0.9934791326522827,Negative
我得去店后面查查以前的笔记,0.7036904096603394,Positive
-明白-还有一件事,0.6084192395210266,Positive
这是你侄女小玉,0.8284913897514343,Negative
你要照顾她一年 听懂没？,0.9864572882652283,Negative
懂了,0.6239920854568481,Positive
我还有个侄女啊？,0.5692551136016846,Negative
她是你表妹欣欣的女儿 从香港来的,0.943904459476471,Positive
她在家不太听话,0.9600414633750916,Negative
成绩也比较差,0.9954593777656555,Negative
你表妹觉得 把她送来美国让你管教 可能会好一点,0.679243266582489,Positive
怎么没人问问我的意见呢,0.7766627073287964,Positive
不想打扰你工作,0.9031307697296143,Negative
好了 我去干活 你俩好好熟悉一下,0.9538161754608154,Positive
但我不会带小孩儿啊,0.9421066641807556,Negative
你好呀 我是你龙叔,0.8670617938041687,Positive
可能不会说英语,0.9442665576934814,Negative
欢迎光临老爹古董店诸位想看点什么？,0.9819412231445312,Positive
你就是那个叫成龙的考古学家？,0.8525861501693726,Negative
我确实对古代文明略有涉猎,0.9663495421409607,Positive
据我们所知 你最近从巴伐利亚的,0.7530297636985779,Positive
一座城堡里 带出了一面盾牌,0.6538769006729126,Negative
我们老板想把它买下来,0.9024792909622192,Positive
抱歉,0.928109347820282,Negative
我已经把它捐给学校了,0.9620459675788879,Positive
真的吗？,0.892358124256134,Negative
成先生 把它要回来,0.9464112520217896,Positive
这样对你和你的家人都好,0.9761669635772705,Positive
我们明天这个时候再来,0.8500032424926758,Positive
-他们买东西没？-没有,0.9735053777694702,Negative
你怎么就不会做生意呢？,0.995786726474762,Negative
把这丫头照顾好 然后把盾藏起来,0.6780152916908264,Positive
那么大一面盾 我能把它藏在哪儿？,0.6169172525405884,Negative
我把它放哪儿了来着？,0.98390132188797,Negative
我马上就把弄脏的地方给你擦干净,0.6843175888061523,Negative
电击剑？,0.522148609161377,Positive
别玩了 快走 都走开,0.9925580024719238,Negative
-快跑啊-跑哪儿去啊？,0.9353036880493164,Negative
喂 你小心…,0.8097572922706604,Negative
赶紧跑吧,0.5250411629676819,Negative
小玉？,0.8502992987632751,Negative
他也醒了,0.9310687184333801,Positive
什么？,0.7566688656806946,Negative
奥古斯塔斯布莱克,0.7531324625015259,Positive
你怎么在这儿啊？,0.9717255234718323,Negative
我又为什么在这儿？,0.9008365273475647,Negative
我是来公干的 兄弟,0.790757417678833,Positive
你带着这俩人 应该不是为了说相声,0.8739597201347351,Negative
